101250, 1, opencl, intel, single, 1, 25.3300
198450, 1, opencl, intel, single, 1, 47.7500
299538, 1, opencl, intel, single, 1, 70.2600
399618, 1, opencl, intel, single, 1, 92.9300
496008, 1, opencl, intel, single, 1, 115.8900
602802, 1, opencl, intel, single, 1, 138.5000
698562, 1, opencl, intel, single, 1, 801378, 1, opencl, intel, single, 1, 903168, 1, opencl, intel, single, 1, 101250, 2, opencl, intel, single, 1, 198450, 2, opencl, intel, single, 1, 299538, 2, opencl, intel, single, 1, 399618, 2, opencl, intel, single, 1, 496008, 2, opencl, intel, single, 1, 602802, 2, opencl, intel, single, 1, 698562, 2, opencl, intel, single, 1, 801378, 2, opencl, intel, single, 1, 903168, 2, opencl, intel, single, 1, 1002528, 2, opencl, intel, single, 1, 101250, 3, opencl, intel, single, 1, 198450, 3, opencl, intel, single, 1, 299538, 3, opencl, intel, single, 1, 399618, 3, opencl, intel, single, 1, 496008, 3, opencl, intel, single, 1, 602802, 3, opencl, intel, single, 1, 698562, 3, opencl, intel, single, 1, 801378, 3, opencl, intel, single, 1, 903168, 3, opencl, intel, single, 1, 1002528, 3, opencl, intel, single, 1, 
